"treatment";"subject";"item_id";"decon_number";"fit_factor"
"Control";"1";1;"0";"200"
"Control";"1";1;"1";"200"
"Control";"1";1;"2";"200"
"Control";"1";1;"3";"200"
"Control";"2";2;"0";"151"
"Control";"2";2;"1";"151"
"Control";"2";2;"2";"129"
"Control";"2";2;"3";"77"
"Control";"3";3;"0";"189"
"Control";"3";3;"1";"200"
"Control";"3";3;"2";"182"
"Control";"3";3;"3";"175"
"Control";"4";4;"0";"200"
"Control";"4";4;"1";"132"
"Control";"4";4;"2";"170"
"Control";"4";4;"3";"200"
"Control";"5";5;"0";"200"
"Control";"5";5;"1";"200"
"Control";"5";5;"2";"200"
"Control";"5";5;"3";"200"
"Control";"6";6;"0";"200"
"Control";"6";6;"1";"121"
"Control";"6";6;"2";"200"
"Control";"6";6;"3";"200"
"Ethanol";"7";7;"0";"189"
"Ethanol";"7";7;"1";"198"
"Ethanol";"7";7;"2";"200"
"Ethanol";"7";7;"3";"175"
"Ethanol";"8";8;"0";"158"
"Ethanol";"8";8;"1";"154"
"Ethanol";"8";8;"2";"54"
"Ethanol";"8";8;"3";"41"
"Ethanol";"9";9;"0";"200"
"Ethanol";"9";9;"1";"200"
"Ethanol";"9";9;"2";"124"
"Ethanol";"9";9;"3";"200"
"Ethanol";"10";10;"0";"182"
"Ethanol";"10";10;"1";"161"
"Ethanol";"10";10;"2";"95"
"Ethanol";"10";10;"3";"30"
"Ethanol";"11";11;"0";"200"
"Ethanol";"11";11;"1";"178"
"Ethanol";"11";11;"2";"130"
"Ethanol";"11";11;"3";"64"
"Ethanol";"12";12;"0";"184"
"Ethanol";"12";12;"1";"141"
"Ethanol";"12";12;"2";"163"
"Ethanol";"12";12;"3";"70"
"Heat";"9";13;"0";"165"
"Heat";"9";13;"1";"167"
"Heat";"9";13;"2";"200"
"Heat";"9";13;"3";"153"
"Heat";"11";14;"0";"115"
"Heat";"11";14;"1";"193"
"Heat";"11";14;"2";"149"
"Heat";"11";14;"3";"200"
"Heat";"6";15;"0";"200"
"Heat";"6";15;"1";"200"
"Heat";"6";15;"2";"104"
"Heat";"6";15;"3";"121"
"Heat";"13";16;"0";"170"
"Heat";"13";16;"1";"142"
"Heat";"13";16;"2";"200"
"Heat";"13";16;"3";"29"
"Heat";"14";17;"0";"163"
"Heat";"14";17;"1";"181"
"Heat";"14";17;"2";"171"
"Heat";"14";17;"3";"126"
"Heat";"7";18;"0";"200"
"Heat";"7";18;"1";"109"
"Heat";"7";18;"2";"151"
"Heat";"7";18;"3";"27"
"VHP";"8";19;"0";"200"
"VHP";"8";19;"1";"163"
"VHP";"8";19;"2";"200"
"VHP";"8";19;"3";"161"
"VHP";"15";20;"0";"187"
"VHP";"15";20;"1";"110"
"VHP";"15";20;"2";"200"
"VHP";"15";20;"3";"102"
"VHP";"4";21;"0";"120"
"VHP";"4";21;"1";"196"
"VHP";"4";21;"2";"172"
"VHP";"4";21;"3";"129"
"VHP";"2";22;"0";"200"
"VHP";"2";22;"1";"200"
"VHP";"2";22;"2";"200"
"VHP";"2";22;"3";"200"
"VHP";"16";23;"0";"200"
"VHP";"16";23;"1";"200"
"VHP";"16";23;"2";"200"
"VHP";"16";23;"3";"200"
"VHP";"17";24;"0";"200"
"VHP";"17";24;"1";"200"
"VHP";"17";24;"2";"182"
"VHP";"17";24;"3";"200"
"UV";"10";25;"0";"129"
"UV";"10";25;"1";"123"
"UV";"10";25;"2";"100"
"UV";"10";25;"3";"60"
"UV";"18";26;"0";"124"
"UV";"18";26;"1";"189"
"UV";"18";26;"2";"200"
"UV";"18";26;"3";"163"
"UV";"3";27;"0";"179"
"UV";"3";27;"1";"200"
"UV";"3";27;"2";"187"
"UV";"3";27;"3";"81"
"UV";"5";28;"0";"200"
"UV";"5";28;"1";"200"
"UV";"5";28;"2";"200"
"UV";"5";28;"3";"200"
"UV";"1";29;"0";"200"
"UV";"1";29;"1";"200"
"UV";"1";29;"2";"200"
"UV";"1";29;"3";"200"
"UV";"9";30;"0";"200"
"UV";"9";30;"1";"200"
"UV";"9";30;"2";"200"
"UV";"9";30;"3";"191"
